Item,"April 30, 2024","January 31, 2024"
Assets - Current assets - Cash and cash equivalents,1330411.0,1762749.0
Assets - Current assets - Short-term investments,2200935.0,2083499.0
"Assets - Current assets - Accounts receivable, net",345505.0,926902.0
"Assets - Current assets - Deferred commissions, current",85448.0,86096.0
Assets - Current assets - Prepaid expenses and other current assets,180991.0,180018.0
Total current assets,4143290.0,5039264.0
Assets - Current assets - Long-term investments,927981.0,916307.0
"Assets - Current assets - Property and equipment, net",263667.0,247464.0
Assets - Current assets - Operating lease right-of-use assets,244681.0,252128.0
Assets - Current assets - Goodwill,975906.0,975906.0
"Assets - Current assets - Intangible assets, net",307967.0,331411.0
"Assets - Current assets - Deferred commissions, non-current",179917.0,187093.0
Liabilities and Stockholders’ Equity - Current liabilities - Accounts payable,64239.0,51721.0
Liabilities and Stockholders’ Equity - Current liabilities - Accrued expenses and other current liabilities,398002.0,446860.0
"Liabilities and Stockholders’ Equity - Current liabilities - Operating lease liabilities, current",30940.0,33944.0
"Liabilities and Stockholders’ Equity - Current liabilities - Deferred revenue, current",1935642.0,2198705.0
Total current liabilities,2428823.0,2731230.0
"Liabilities and Stockholders’ Equity - Current liabilities - Operating lease liabilities, non-current",247501.0,254037.0
"Liabilities and Stockholders’ Equity - Current liabilities - Deferred revenue, non-current",14692.0,14402.0
Liabilities and Stockholders’ Equity - Current liabilities - Other liabilities,39310.0,33120.0
Total liabilities,2730326.0,3032789.0
Liabilities and Stockholders’ Equity - Current liabilities - Commitments and contingencies (Note,10.0,
Liabilities and Stockholders’ Equity - Stockholders’ equity - Preferred stock,0.0001,200000.0
Liabilities and Stockholders’ Equity - Stockholders’ equity - Additional paid-in capital,9546792.0,9331238.0
Liabilities and Stockholders’ Equity - Stockholders’ equity - Accumulated other comprehensive loss,15713.0,8220.0
Liabilities and Stockholders’ Equity - Stockholders’ equity - Accumulated deficit,4908921.0,4075604.0
Total stockholders’ equity,4567692.0,5190594.0
